pl_name,hostname,disc_year,discoverymethod,disc_facility
"""gam 1 Leo b""","""gam 1 Leo""",2009,"""Radial Velocity""","""Bohyunsan Optical Astronomical Observatory"""
"""ups And b""","""ups And""",1996,"""Radial Velocity""","""Lick Observatory"""
"""11 Com b""","""11 Com""",2007,"""Radial Velocity""","""Xinglong Station"""
"""HD 104067 b""","""HD 104067""",2009,"""Radial Velocity""","""La Silla Observatory"""
"""HD 209458 b""","""HD 209458""",1999,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 209458 b""","""HD 209458""",1999,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 217107 c""","""HD 217107""",2005,"""Radial Velocity""","""Lick Observatory"""
"""HD 209458 b""","""HD 209458""",1999,"""Radial Velocity""","""W. M. Keck Observatory"""
"""GJ 876 b""","""GJ 876""",1998,"""Radial Velocity""","""Multiple Observatories"""
"""GJ 876 c""","""GJ 876""",2000,"""Radial Velocity""","""Multiple Observatories"""
"""ups And c""","""ups And""",1999,"""Radial Velocity""","""Multiple Observatories"""
"""HD 179949 b""","""HD 179949""",2000,"""Radial Velocity""","""Anglo-Australian Telescope"""
"""HD 195019 b""","""HD 195019""",1998,"""Radial Velocity""","""Lick Observatory"""
"""HD 217107 b""","""HD 217107""",1998,"""Radial Velocity""","""Lick Observatory"""
"""HD 46375 b""","""HD 46375""",2000,"""Radial Velocity""","""W. M. Keck Observatory"""
"""ups And c""","""ups And""",1999,"""Radial Velocity""","""Multiple Observatories"""
"""ups And d""","""ups And""",1999,"""Radial Velocity""","""Multiple Observatories"""
"""BD-10 3166 b""","""BD-10 3166""",2000,"""Radial Velocity""","""W. M. Keck Observatory"""
"""GJ 876 c""","""GJ 876""",2000,"""Radial Velocity""","""Multiple Observatories"""
"""ups And d""","""ups And""",1999,"""Radial Velocity""","""Multiple Observatories"""
"""HD 103891 b""","""HD 103891""",2022,"""Radial Velocity""","""La Silla Observatory"""
"""WASP-103 b""","""WASP-103""",2014,"""Transit""","""SuperWASP"""
"""WASP-2 b""","""WASP-2""",2007,"""Transit""","""SuperWASP"""
"""HAT-P-41 b""","""HAT-P-41""",2012,"""Transit""","""HATNet"""
"""WASP-1 b""","""WASP-1""",2007,"""Transit""","""SuperWASP"""
"""WASP-89 b""","""WASP-89""",2015,"""Transit""","""SuperWASP"""
"""HAT-P-32 b""","""HAT-P-32""",2011,"""Transit""","""HATNet"""
"""HAT-P-28 b""","""HAT-P-28""",2011,"""Transit""","""HATNet"""
"""WASP-52 b""","""WASP-52""",2012,"""Transit""","""SuperWASP"""
"""WASP-157 b""","""WASP-157""",2016,"""Transit""","""SuperWASP"""
"""HD 147379 b""","""HD 147379""",2017,"""Radial Velocity""","""Calar Alto Observatory"""
"""HD 72659 b""","""HD 72659""",2002,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 168443 b""","""HD 168443""",1998,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 7924 c""","""HD 7924""",2015,"""Radial Velocity""","""W. M. Keck Observatory"""
"""BD+14 4559 b""","""BD+14 4559""",2009,"""Radial Velocity""","""McDonald Observatory"""
"""BD+20 2457 b""","""BD+20 2457""",2009,"""Radial Velocity""","""McDonald Observatory"""
"""CoRoT-3 b""","""CoRoT-3""",2008,"""Transit""","""CoRoT"""
"""HD 37605 b""","""HD 37605""",2004,"""Radial Velocity""","""McDonald Observatory"""
"""HD 89744 b""","""HD 89744""",1999,"""Radial Velocity""","""Fred Lawrence Whipple Observatory"""
"""HIP 14810 c""","""HIP 14810""",2006,"""Radial Velocity""","""W. M. Keck Observatory"""
"""WASP-1 b""","""WASP-1""",2007,"""Transit""","""SuperWASP"""
"""WASP-60 b""","""WASP-60""",2012,"""Transit""","""SuperWASP"""
"""Kepler-1789 b""","""Kepler-1789""",2021,"""Transit""","""Kepler"""
"""Kepler-1829 b""","""Kepler-1829""",2021,"""Transit""","""Kepler"""
"""Kepler-305 b""","""Kepler-305""",2013,"""Transit""","""Kepler"""
"""Kepler-1848 b""","""Kepler-1848""",2021,"""Transit""","""Kepler"""
"""GJ 687 b""","""GJ 687""",2014,"""Radial Velocity""","""Lick Observatory"""
"""Kepler-462 b""","""Kepler-462""",2016,"""Transit""","""Kepler"""
"""Kepler-462 b""","""Kepler-462""",2016,"""Transit""","""Kepler"""
"""Kepler-799 c""","""Kepler-799""",2021,"""Transit""","""Kepler"""
"""Kepler-1796 b""","""Kepler-1796""",2021,"""Transit""","""Kepler"""
"""Kepler-1861 b""","""Kepler-1861""",2021,"""Transit""","""Kepler"""
"""Kepler-616 b""","""Kepler-616""",2016,"""Transit""","""Kepler"""
"""Kepler-1794 b""","""Kepler-1794""",2021,"""Transit""","""Kepler"""
"""Kepler-1796 b""","""Kepler-1796""",2021,"""Transit""","""Kepler"""
"""Kepler-1740 b""","""Kepler-1740""",2021,"""Transit""","""Kepler"""
"""Kepler-352 c""","""Kepler-352""",2014,"""Transit""","""Kepler"""
"""Kepler-799 b""","""Kepler-799""",2016,"""Transit""","""Kepler"""
"""Kepler-1787 b""","""Kepler-1787""",2021,"""Transit""","""Kepler"""
"""K2-389 c""","""K2-389""",2022,"""Transit""","""K2"""
"""Kepler-27 b""","""Kepler-27""",2011,"""Transit""","""Kepler"""
"""K2-392 b""","""K2-392""",2022,"""Transit""","""K2"""
"""Kepler-1909 b""","""Kepler-1909""",2021,"""Transit""","""Kepler"""
"""Kepler-1875 b""","""Kepler-1875""",2021,"""Transit""","""Kepler"""
"""Kepler-1880 b""","""Kepler-1880""",2021,"""Transit""","""Kepler"""
"""GJ 1214 b""","""GJ 1214""",2009,"""Transit""","""MEarth Project"""
"""WASP-1 b""","""WASP-1""",2007,"""Transit""","""SuperWASP"""
"""HD 92788 b""","""HD 92788""",2000,"""Radial Velocity""","""Multiple Observatories"""
"""HD 154345 b""","""HD 154345""",2006,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 114729 b""","""HD 114729""",2002,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 42618 b""","""HD 42618""",2016,"""Radial Velocity""","""Multiple Observatories"""
"""HD 1461 b""","""HD 1461""",2010,"""Radial Velocity""","""W. M. Keck Observatory"""
"""HD 169830 c""","""HD 169830""",2003,"""Radial Velocity""","""La Silla Observatory"""
"""Kepler-33 c""","""Kepler-33""",2011,"""Transit""","""Kepler"""
"""Kepler-33 e""","""Kepler-33""",2011,"""Transit""","""Kepler"""
"""GJ 581 c""","""GJ 581""",2007,"""Radial Velocity""","""La Silla Observatory"""
